Category;Name;Price;URL;Visible;Featured;New;Hit;"Export XML";Brand;Variant;"Variant color";"Color code";"Compare price";"Currency ID";Weight;SKU;Stock;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;Color;Size;"Operating System";CPU;Cores;"Clock Rate";GPU;RAM;Memory;"Memory Card";Camera;"Front Camera";Display;Diagonal;Battery;"Battery Capacity";"SIM Card";"SIM Card Type"
Accessories;"Apple AirPods";210.00;apple-airpods;1;1;0;0;0;Apple;;;;0;1;0.00;;;"Apple AirPods";"Apple AirPods, Apple, Accessories ";"Everyone is used to the fact that Apple accessories are more than just an addition. These things are self-sufficient and often unique. This is how Apple AirPods can be described. ";"<p>Everyone is used to the fact that Apple accessories are more than just an addition. These things are self-sufficient and often unique. This is how Apple AirPods can be described. The new wireless headset will change your perception of simple and familiar things. No wires, decent sound quality, incredible and stylish corporate design - these headphones undoubtedly deserve attention.</p>";"<h2>Sound magic</h2>
<p>Everyone is used to the fact that Apple accessories are more than just an addition. These things are self-sufficient and often unique. This is how Apple AirPods can be described. The new wireless headset will change your perception of simple and familiar things. No wires, decent sound quality, incredible and stylish corporate design - these headphones undoubtedly deserve attention.</p>
<h2>Why a headphone processor?</h2>
<p>In the list of technical characteristics of Apple AirPods, we can see the W1 processor. Moreover, he answers in this model not only for the formation of a sound signal. Headphones know what you are doing at the moment: Whether you are using 1 or 2 headphones, talking or listening to music - the system will automatically adjust to the required mode, create sound isolation, pause the music and turn it on again.</p>
<h2>Decent autonomy</h2>
<p>But from a mobile gadget, you need not only a range of capabilities, but also the possibility of long-term work. Apple AirPods will be able to play music continuously for 5:00. Using the charging case will make you autonomous for a day. At the same time, 15 minutes of recharging will give you another 3:00 of music and communication!</p>";"apple-airpods-1.png, apple-airpods-2.png, apple-airpods-3.png, apple-airpods-4.png";;;;;;;;;;;;;;;;;;
Gadgets/Watch;"Apple Watch 4 Black";500.00;apple-watch-4-black;1;;0;0;0;Apple;;;;0;1;0.00;;;"Apple Watch 4 Black";"Apple Watch 4 Black, Apple, Watch";"Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you stay active, stay healthy and stay connected.";"<p>Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you lead an even more active lifestyle, better monitor your health and always stay in touch.</p>";"<p><strong>STARTING A NEW LIFE</strong>&nbsp;<br><br>Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you stay active, stay healthy and stay connected.&nbsp;<br><br><strong>CHANGES THAT CHANGE EVERYTHING</strong>&nbsp;<br><br>Largest display in the Apple Watch lineup. New electrical heart rate sensor. Enhanced Digital Crown with tactile feedback. So familiar and at the same time fundamentally new Apple Watch Series 4 changes all ideas about the capabilities of the watch.&nbsp;<br><br><strong>FEEL. TAKE CARE. PROMPT</strong>&nbsp;<br><br>Alerts for too low and too high heart rate. Fall detection and emergency call functions. New dials ""Breath"". This watch is designed to protect you and help you lead a healthier life.&nbsp;<br><br><strong>AT THE PEAK WITH YOU</strong>&nbsp;<br><br>Automatic training recognition. New types of training: yoga and hiking. Advanced features for runners such as cadence and pace alerts. At the same time, you can display up to five indicators on the screen to accurately track your statistics.&nbsp;<br><br><strong>MOTIVATION. MOTIVATION. MOTIVATION</strong>&nbsp;<br><br>A new type of competition: one on one. The ability to share activity indicators with friends. Personal coaching tips. Monthly motivational goals. Virtual awards for achievements. Everything to inspire you to close your Activity rings every day.&nbsp;<br><br><strong>EVERYTHING IMPORTANT AT YOUR HAND</strong>&nbsp;<br><br>Walkie, phone calls and messages. Music from Apple Music and Apple's Podcasts app. New app experience with Siri shortcuts. So many important and necessary things - right on your wrist.&nbsp;</p>";apple-watch-4-black-1.png;#000000;;"Watch OS";"Apple S4";2;;;;"16 GB";;;;OLED;1.78”;;;;
Smartphones;"Apple iPhone X";447.98;apple-iphone-x;1;;0;0;0;Apple;;;#ffffff;0;1;100.00;;;"Apple iPhone X";"Apple iPhone X, Apple, Mobile phones";"Apple iPhone X is the epitome of the best innovative solutions. Brand new design
with a reimagined control system. The bezel-less design takes the user experience to the next level. Glass and metal body.";"<p>Apple iPhone X is the epitome of the best innovative solutions. A completely new design with a reimagined control system.</p>";"<p>Apple iPhone X is the epitome of the best innovative solutions. Brand new design<br>with a reimagined control system. The bezel-less design takes the user experience to the next level. Glass and metal body. Perfect hardware core, thanks to the most powerful internal 64-bit architecture. Dramatically improved the world's most popular mobile camera.<br>This is exactly how Apple sees its flagship smartphone in 2017.</p>";"apple-iphone-x-1.png, apple-iphone-x-2.png";#000000;;IOS;"Apple A11 Bionic";6;"2.39 GHz";"Apple A11 GPU";"3 GB";"64 GB";No;"12 MP";"7 MP";OLED;"5.8""";Li-Ion;"2716 mAh";"1 SIM";Nano-SIM
Smartphones;"Apple iPhone 7 Black";300.00;apple-iphone-7-black;1;;0;0;0;Apple;;;;0;1;0.00;;;"Apple iPhone 7 Black";"Apple iPhone 7 Black, Apple, Mobile phones";"Apple iPhone 7 smartphone was launched in September 2016. The phone comes with a 4.70-inch touchscreen display with a resolution of 750x1334 pixels at a pixel density of 326 pixels per inch (ppi) and an aspect ratio of 16:9. Apple iPhone 7 is powered by a";"<p>Apple iPhone 7 smartphone was launched in September 2016. The phone comes with a 4.70-inch touchscreen display with a resolution of 750x1334 pixels at a pixel density of 326 pixels per inch (ppi) and an aspect ratio of 16:9.&nbsp;</p>";"<p>Apple iPhone 7 smartphone was launched in September 2016. The phone comes with a 4.70-inch touchscreen display with a resolution of 750x1334 pixels at a pixel density of 326 pixels per inch (ppi) and an aspect ratio of 16:9. Apple iPhone 7 is powered by a 2.34GHz quad-core Apple A10 Fusion processor. It comes with 2GB of RAM. The Apple iPhone 7 runs iOS 10 and is powered by a 1960mAh non-removable battery.</p>
<p>As far as the cameras are concerned, the Apple iPhone 7 on the rear packs a 12-megapixel camera with an f/1.8 aperture. The rear camera setup has phase detection autofocus. It sports a 7-megapixel camera on the front for selfies, with an f/2.2 aperture.</p>
<p>Apple iPhone 7 based on iOS 10 and packs 32GB of inbuilt storage. The Apple iPhone 7 is a single SIM (GSM) smartphone that accepts a Nano-SIM card. The Apple iPhone 7 measures 138.30 x 67.10 x 7.10mm (height x width x thickness) and weighs 138.00 grams. It was launched in Black, Gold, Jet Black, Matte Black, Red, Rose Gold, and Silver colours.</p>
<p>Connectivity options on the Apple iPhone 7 include Wi-Fi 802.11 a/b/g/n/ac, GPS, Bluetooth v4.20, NFC, Lightning, 3G, and 4G (with support for Band 40 used by some LTE networks in India). Sensors on the phone include accelerometer, ambient light sensor, barometer, compass/ magnetometer, gyroscope, proximity sensor, and fingerprint sensor.</p>";"apple-iphone-7-1.png, apple-iphone-7-2.png";#000000;;IOS;"Apple A10 Fusion";4;"2.34 GHz";"PowerVR Series7XT Plus";"2 GB";"32 GB";No;"12 MP";"7 MP";IPS;"4.7""";Li-Ion;"1960 mAh";"1 SIM";Nano-SIM
Tablets;"Apple iPad Air";280.00;apple-ipad-air;1;;0;0;0;Apple;;;;400;1;0.00;;;"Apple iPad Air";"Apple iPad Air, Apple, Tablets";"iPad Air gives you access to the most advanced Apple designs. A12 Bionic processor with Neural Engine. 10.5"" Retina display with True Tone technology. Support for Apple Pencil and Smart Keyboard. ";"<p>iPad Air gives you access to the most advanced Apple designs. A12 Bionic processor with Neural Engine. 10.5"" Retina display with True Tone technology. Support for Apple Pencil and Smart Keyboard. Plus, at just 6.1mm thin, iPad Air weighs less than 500g, so you can easily carry it with you wherever you go.</p>";"<p><strong>TO ALL THE LOVE OF POWERFUL TECHNOLOGY</strong>&nbsp;<br><br>iPad Air gives you access to Apple's most advanced designs. A12 Bionic processor with Neural Engine. 10.5"" Retina display with True Tone technology. Support for Apple Pencil and Smart Keyboard. Plus, at just 6.1mm thin, iPad Air weighs less than 500g so you can easily carry it with you.&nbsp;<br><br><strong>EVERYTHING YOU NEED. NO WEIGHT</strong>&nbsp;<br><br>Despite the large 10.5-inch Retina display, iPad Air is very compact. It is great for solving a variety of tasks literally on the go. To do this, it is equipped with the most advanced wireless technology, as well as a battery that lasts up to 10 hours without recharging. That's almost a whole day.&nbsp;<br><br><strong>POWER ENOUGH FOR EVERYTHING, AT ONCE</strong>&nbsp;<br><br>The power and intelligence of iPad Air comes from the A12 Bionic processor with Neural Engine. The processor uses real-time machine learning technology to deliver incredible experiences for photography, gaming, augmented reality and more. You can edit videos, make impressive presentations, design 3D models, watch your favorite series online. And do it all at the same time.&nbsp;<br><br><strong>SUPER-FAST GRAPHICS FOR GAMES AND APPS</strong>&nbsp;<br><br>Stunning AR performance, incredible graphics experience , photorealistic graphics in 3D games - the 4-core graphics system of the A12 Bionic processor is behind it all.&nbsp;<br><br><strong>EVERYTHING IS DONE BEAUTIFUL</strong>&nbsp;<br><br>iPad Air features a 10.5-inch Retina display with wide color gamut. I want to look at this display endlessly. Photos, videos and games look alive and natural down to the smallest detail. And regardless of the environment, True Tone technology, increased brightness and anti-reflective coating help to ensure the highest quality image.&nbsp;<br><br><strong>TRUE TONE. EASY ON THE EYES IN ANY LIGHT</strong>&nbsp;<br><br>True Tone technology automatically adjusts white balance based on ambient light. Therefore, the image on the display looks more natural and comfortable for the eyes in any conditions - both during the evening reading and when you paint a sunny landscape in the open air.&nbsp;<br><br><strong>Keep in touch. SHOT IN HD. PLAY AR</strong>&nbsp;<br><br>The cameras on iPad Air let you capture stunning photos and 1080p HD video. And that's not all. You can communicate via FaceTime with several interlocutors, scan and immediately send documents. And even create your own worlds - iPad Air cameras work great with augmented reality technologies (augmented reality).&nbsp;<br><br><strong>PLAY, WORK AND BE CREATIVE IN Augmented Reality</strong>&nbsp;<br><br>When virtual objects and data become part of the real world, completely new horizons open up before you. With front and rear cameras, an A12 Bionic processor with Neural Engine, a large natural color display, and accurate motion tracking, iPad is the perfect device for living in augmented reality.&nbsp;<br><br><strong>SEND. DRAW. FOLLOW INSPIRATION</strong>&nbsp;<br><br>Apple Pencil (sold separately) captures hand movements with amazing precision and speed. It is comfortable to hold in your hand like a regular pencil. However, he can do much more. With Apple Pencil, your iPad Air can become a notepad or an artist's canvas - you have many options.&nbsp;<br><br><strong>TAKE NOTES. COMMENT ON DOCUMENTS AND SCREENSHOTS. AND MORE</strong>&nbsp;<br><br>Taking notes or jotting down ideas on iPad Air is as easy as writing on a piece of paper. You can mark up documents, add pictures to your notes, take screenshots, and add comments to them.&nbsp;<br><br><strong>IOS. HELP YOU UNLOCK THE POTENTIAL OF IPAD</strong>&nbsp;<br><br>iOS is an advanced mobile operating system that lets you control your iPad Air with simple taps. Apple calls them gestures, and they give you full access to all of the iPad Air's large display and smart technologies. With the multitasking feature, you can use your favorite applications at the same time - just select them from the Dock. And files can be moved from one application to another and sorted in the Files app in any way you like.&nbsp;<br><br><strong>ALL YOUR FILES HAVE BEEN GONE</strong>&nbsp;<br><br>The Files app lets you work with content that can be stored on your iPad Air, iCloud Drive, or other cloud services such as Box and Dropbox. Either way, your files will always be available - easy and simple.&nbsp;<br><br><strong>YOUR IPAD MAKES YOUR INTEREST</strong>&nbsp;<br><br>The iPad Air comes with excellent</p>";"apple-ipad-air-1.png, apple-ipad-air-2.png";#808080;;iPadOS;"Apple A12 Bionic";6;"2.4 GHz";;"3 GB";;;"8 MP";"7 MP";IPS;"10.5""";Li-Ion;"8650 mAh";;
Gadgets/Watch;"Apple Watch 4 White";503.00;apple-watch-4-white;1;;1;0;0;Apple;;;;0;1;0.00;;;"Apple Watch 4 White";"Apple Watch 4 White, Apple, Watch";"Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you lead an even more active lifestyle, better monitor your health and always stay in touch.";"<p>Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you lead an even more active lifestyle, better monitor your health and always stay in touch.</p>";"<p><strong>STARTING A NEW LIFE</strong>&nbsp;<br><br>Introducing Apple Watch Series 4. A watch with a completely new design and new technologies. They help you stay active, stay healthy and stay connected.&nbsp;<br><br><strong>CHANGES THAT CHANGE EVERYTHING</strong>&nbsp;<br><br>Largest display in the Apple Watch lineup. New electrical heart rate sensor. Enhanced Digital Crown with tactile feedback. So familiar and at the same time fundamentally new Apple Watch Series 4 changes all ideas about the capabilities of the watch.&nbsp;<br><br><strong>FEEL. TAKE CARE. PROMPT</strong>&nbsp;<br><br>Alerts for too low and too high heart rate. Fall detection and emergency call functions. New dials ""Breath"". This watch is designed to protect you and help you lead a healthier life.&nbsp;<br><br><strong>AT THE PEAK WITH YOU</strong>&nbsp;<br><br>Automatic training recognition. New types of training: yoga and hiking. Advanced features for runners such as cadence and pace alerts. At the same time, you can display up to five indicators on the screen to accurately track your statistics.&nbsp;<br><br><strong>MOTIVATION. MOTIVATION. MOTIVATION</strong>&nbsp;<br><br>A new type of competition: one on one. The ability to share activity indicators with friends. Personal coaching tips. Monthly motivational goals. Virtual awards for achievements. Everything to inspire you to close your Activity rings every day.&nbsp;<br><br><strong>EVERYTHING IMPORTANT AT YOUR HAND</strong>&nbsp;<br><br>Walkie, phone calls and messages. Music from Apple Music and Apple's Podcasts app. New app experience with Siri shortcuts. So many important and necessary things - right on your wrist.&nbsp;</p>";apple-watch-4-white-1.png;#ffffff;;"Watch OS";"Apple S4";2;;;;"16 GB";;;;OLED;1.78”;;;;
Smartphones;"Apple iPhone 12 Red";400.00;apple-iphone-12-red;1;1;1;1;0;Apple;"64 GB";Red;#ff0000;450;1;162.00;675372;;"Apple iPhone 12 Red";"Apple iPhone 12 Red, Apple, Smartphones";"Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.";"<p>All new products traditionally have the fastest Apple processor and support for 5G. Another common feature is the most durable screen ever on an iPhone.</p>";"<h3>Flat and cocky</h3>
<p>Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-1.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Incredibly durable</h3>
<p>Apple iPhone 12 is housed in an aluminum case with flat side edges. The entire front panel is occupied by a beautiful 6.1-inch OLED display with Super Retina XDR technology. This smartphone introduces for the first time a completely new coating technology - Ceramic Shield. It is glass with nano-inclusions of transparent ceramics, which make it incredibly durable. Now you can not be afraid to drop your smartphone - the probability of breaking the screen when falling is now less than 4 times.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-2.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Amazingly fast</h3>
<p>Apple iPhone 12 is powered by the most powerful new generation A14 Bionic chip. The overall performance of the smartphone has increased by 40% compared to the previous model. The 4-core graphics accelerator is 30% more powerful, and the improved 16-core Neural Engine is 10 times faster than its predecessor. At the same time, the power consumption of the new processor has decreased. This smartphone will perform any applications, any operations without the slightest delay. The iPhone 12 now makes it possible to execute the most complex algorithms of processing and machine learning, best seen in the incredible capabilities of its cameras.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-3.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Replaces film studio</h3>
<p>iPhone 12 received two cameras: wide-angle and ultra-wide-angle. Apple's excellent cameras have received an upgrade this year with improved imaging technology. Night mode is now supported for both modules. This means shots taken in low light will be more detailed and sharper. In addition, you can now shoot a time-lapse in night mode. The new smartphone can shoot video in HDR 4K mode in the Dolby Vision standard, which is an absolute record not only among smartphone cameras, but also among many professional camcorders.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone-12-4.png"" alt="""" width=""1023"" height=""772""></p>
<h3>Innovatively beautiful</h3>
<p>Apple iPhone 12 comes in 5 colors: standard white and black, special PRODUCT (RED), which proceeds to the COVID-19 fund, green and in the new 2020 color blue. The phone case is protected from moisture according to the IP68 standard, this protection will allow you to swim without taking the phone out of your pocket. And on the back panel of the case there is now a magnetic mount, thanks to which the iPhone can be conveniently placed on a wireless charger, and, if desired, you can &ldquo;glue&rdquo; special cases and pockets for cards on the back panel, which the manufacturer also announced for the first time this year.</p>";"apple-iphone-12-red-1.png, apple-iphone-12-red-2.png";#ff0000;;IOS;"Apple A14 Bionic";6;"3.1 GHz";"Apple A14 GPU";"4 GB";"64 GB|128 GB|256 GB";No;"12 MP + 12 MP";"12 MP";OLED;"6.1""";Li-Ion;"2775 mAh";"2 SIM";Nano-SIM|e-SIM
Smartphones;"Apple iPhone 12 Red";500.00;apple-iphone-12-red;1;1;1;1;0;Apple;"128 GB";Red;#ff0000;550;1;162.00;675351;;"Apple iPhone 12 Red";"Apple iPhone 12 Red, Apple, Smartphones";"Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.";"<p>All new products traditionally have the fastest Apple processor and support for 5G. Another common feature is the most durable screen ever on an iPhone.</p>";"<h3>Flat and cocky</h3>
<p>Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-1.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Incredibly durable</h3>
<p>Apple iPhone 12 is housed in an aluminum case with flat side edges. The entire front panel is occupied by a beautiful 6.1-inch OLED display with Super Retina XDR technology. This smartphone introduces for the first time a completely new coating technology - Ceramic Shield. It is glass with nano-inclusions of transparent ceramics, which make it incredibly durable. Now you can not be afraid to drop your smartphone - the probability of breaking the screen when falling is now less than 4 times.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-2.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Amazingly fast</h3>
<p>Apple iPhone 12 is powered by the most powerful new generation A14 Bionic chip. The overall performance of the smartphone has increased by 40% compared to the previous model. The 4-core graphics accelerator is 30% more powerful, and the improved 16-core Neural Engine is 10 times faster than its predecessor. At the same time, the power consumption of the new processor has decreased. This smartphone will perform any applications, any operations without the slightest delay. The iPhone 12 now makes it possible to execute the most complex algorithms of processing and machine learning, best seen in the incredible capabilities of its cameras.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-3.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Replaces film studio</h3>
<p>iPhone 12 received two cameras: wide-angle and ultra-wide-angle. Apple's excellent cameras have received an upgrade this year with improved imaging technology. Night mode is now supported for both modules. This means shots taken in low light will be more detailed and sharper. In addition, you can now shoot a time-lapse in night mode. The new smartphone can shoot video in HDR 4K mode in the Dolby Vision standard, which is an absolute record not only among smartphone cameras, but also among many professional camcorders.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone-12-4.png"" alt="""" width=""1023"" height=""772""></p>
<h3>Innovatively beautiful</h3>
<p>Apple iPhone 12 comes in 5 colors: standard white and black, special PRODUCT (RED), which proceeds to the COVID-19 fund, green and in the new 2020 color blue. The phone case is protected from moisture according to the IP68 standard, this protection will allow you to swim without taking the phone out of your pocket. And on the back panel of the case there is now a magnetic mount, thanks to which the iPhone can be conveniently placed on a wireless charger, and, if desired, you can &ldquo;glue&rdquo; special cases and pockets for cards on the back panel, which the manufacturer also announced for the first time this year.</p>";"apple-iphone-12-red-1.png, apple-iphone-12-red-2.png";#ff0000;;IOS;"Apple A14 Bionic";6;"3.1 GHz";"Apple A14 GPU";"4 GB";"64 GB|128 GB|256 GB";No;"12 MP + 12 MP";"12 MP";OLED;"6.1""";Li-Ion;"2775 mAh";"2 SIM";Nano-SIM|e-SIM
Smartphones;"Apple iPhone 12 Red";700.00;apple-iphone-12-red;1;1;1;1;0;Apple;"256 GB";Red;#ff0000;800;1;162.00;675367;;"Apple iPhone 12 Red";"Apple iPhone 12 Red, Apple, Smartphones";"Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.";"<p>All new products traditionally have the fastest Apple processor and support for 5G. Another common feature is the most durable screen ever on an iPhone.</p>";"<h3>Flat and cocky</h3>
<p>Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-1.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Incredibly durable</h3>
<p>Apple iPhone 12 is housed in an aluminum case with flat side edges. The entire front panel is occupied by a beautiful 6.1-inch OLED display with Super Retina XDR technology. This smartphone introduces for the first time a completely new coating technology - Ceramic Shield. It is glass with nano-inclusions of transparent ceramics, which make it incredibly durable. Now you can not be afraid to drop your smartphone - the probability of breaking the screen when falling is now less than 4 times.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-2.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Amazingly fast</h3>
<p>Apple iPhone 12 is powered by the most powerful new generation A14 Bionic chip. The overall performance of the smartphone has increased by 40% compared to the previous model. The 4-core graphics accelerator is 30% more powerful, and the improved 16-core Neural Engine is 10 times faster than its predecessor. At the same time, the power consumption of the new processor has decreased. This smartphone will perform any applications, any operations without the slightest delay. The iPhone 12 now makes it possible to execute the most complex algorithms of processing and machine learning, best seen in the incredible capabilities of its cameras.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-3.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Replaces film studio</h3>
<p>iPhone 12 received two cameras: wide-angle and ultra-wide-angle. Apple's excellent cameras have received an upgrade this year with improved imaging technology. Night mode is now supported for both modules. This means shots taken in low light will be more detailed and sharper. In addition, you can now shoot a time-lapse in night mode. The new smartphone can shoot video in HDR 4K mode in the Dolby Vision standard, which is an absolute record not only among smartphone cameras, but also among many professional camcorders.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone-12-4.png"" alt="""" width=""1023"" height=""772""></p>
<h3>Innovatively beautiful</h3>
<p>Apple iPhone 12 comes in 5 colors: standard white and black, special PRODUCT (RED), which proceeds to the COVID-19 fund, green and in the new 2020 color blue. The phone case is protected from moisture according to the IP68 standard, this protection will allow you to swim without taking the phone out of your pocket. And on the back panel of the case there is now a magnetic mount, thanks to which the iPhone can be conveniently placed on a wireless charger, and, if desired, you can &ldquo;glue&rdquo; special cases and pockets for cards on the back panel, which the manufacturer also announced for the first time this year.</p>";"apple-iphone-12-red-1.png, apple-iphone-12-red-2.png";#ff0000;;IOS;"Apple A14 Bionic";6;"3.1 GHz";"Apple A14 GPU";"4 GB";"64 GB|128 GB|256 GB";No;"12 MP + 12 MP";"12 MP";OLED;"6.1""";Li-Ion;"2775 mAh";"2 SIM";Nano-SIM|e-SIM
Smartphones;"Apple iPhone 12 White";400.00;apple-iphone-12-white;1;1;1;1;0;Apple;"64 GB";White;#ffffff;450;1;162.00;675374;;"Apple iPhone 12 White";"Apple iPhone 12 White, Apple, Smartphones";"Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.";"<p>All new products traditionally have the fastest Apple processor and support for 5G. Another common feature is the most durable screen ever on an iPhone.</p>";"<h3>Flat and cocky</h3>
<p>Apple iPhone 12 is one of the most powerful smartphones of 2020. Inside it has the most advanced hardware, while its design will be appreciated by those who are migrating from previous versions, and lovers of the classic iPhone 4 and iPhone 5.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-1.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Incredibly durable</h3>
<p>Apple iPhone 12 is housed in an aluminum case with flat side edges. The entire front panel is occupied by a beautiful 6.1-inch OLED display with Super Retina XDR technology. This smartphone introduces for the first time a completely new coating technology - Ceramic Shield. It is glass with nano-inclusions of transparent ceramics, which make it incredibly durable. Now you can not be afraid to drop your smartphone - the probability of breaking the screen when falling is now less than 4 times.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-2.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Amazingly fast</h3>
<p>Apple iPhone 12 is powered by the most powerful new generation A14 Bionic chip. The overall performance of the smartphone has increased by 40% compared to the previous model. The 4-core graphics accelerator is 30% more powerful, and the improved 16-core Neural Engine is 10 times faster than its predecessor. At the same time, the power consumption of the new processor has decreased. This smartphone will perform any applications, any operations without the slightest delay. The iPhone 12 now makes it possible to execute the most complex algorithms of processing and machine learning, best seen in the incredible capabilities of its cameras.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone12-3.jpg"" alt="""" width=""1024"" height=""537""></p>
<h3>Replaces film studio</h3>
<p>iPhone 12 received two cameras: wide-angle and ultra-wide-angle. Apple's excellent cameras have received an upgrade this year with improved imaging technology. Night mode is now supported for both modules. This means shots taken in low light will be more detailed and sharper. In addition, you can now shoot a time-lapse in night mode. The new smartphone can shoot video in HDR 4K mode in the Dolby Vision standard, which is an absolute record not only among smartphone cameras, but also among many professional camcorders.</p>
<p><img class=""img-zoom img-fluid"" src=""../files/uploads/apple-iphone-12-4.png"" alt="""" width=""1023"" height=""772""></p>
<h3>Innovatively beautiful</h3>
<p>Apple iPhone 12 comes in 5 colors: standard white and black, special PRODUCT (RED), which proceeds to the COVID-19 fund, green and in the new 2020 color blue. The phone case is protected from moisture according to the IP68 standard, this protection will allow you to swim without taking the phone out of your pocket. And on the back panel of the case there is now a magnetic mount, thanks to which the iPhone can be conveniently placed on a wireless charger, and, if desired, you can &ldquo;glue&rdquo; special cases and pockets for cards on the back panel, which the manufacturer also announced for the first time this year.</p>";"apple-iphone-12-white-1.png, apple-iphone-12-white-2.png";#ffffff;;IOS;"Apple A14 Bionic";6;"3.1 GHz";"Apple A14 GPU";"4 GB";"64 GB|128 GB|256 GB";No;"12 MP + 12 MP";"12 MP";OLED;"6.1""";Li-Ion;"2775 mAh";"2 SIM";Nano-SIM|e-SIM
